"actorid";"name";"sex"
530918;"Fuchs, Andrew M.";"M"
530972;"Fuchs, Fritz (I)";"M"
531000;"Fuchs, Jason (I)";"M"
531017;"Fuchs, Kenneth (I)";"M"
531034;"Fuchs, Martin (I)";"M"
531114;"Fucile, Mark";"M"
531117;"Fucili, Rolando";"M"
531143;"Fudala, Eric";"M"
531159;"Fudge, Alan";"M"
531252;"Fuentes, André (I)";"M"
531282;"Fuentes, Diego";"M"
531301;"Fuentes, Ernie";"M"
531327;"Fuentes, Jesus";"M"
531385;"Fuentes, Miguel Ángel (I)";"M"
531431;"Fuentes, Rubén de";"M"
531450;"Fuentes, Tony (II)";"M"
531489;"Fuerberg, Hans";"M"
531553;"Fugard, Athol";"M"
531563;"Fugate, Ethan James";"M"
531571;"Fugate, Tony";"M"
531581;"Fugazzotto, Filippo";"M"
531587;"Fugelsang, John";"M"
531612;"Fugit, Patrick";"M"
531647;"Fuher, Kent";"M"
531681;"Fuhrman, Ben";"M"
531732;"Fuica, Leonardo";"M"
531767;"Fuji, Tatsuya";"M"
531806;"Fujii, James";"M"
531850;"Fujikawa, Jerry";"M"
531871;"Fujiki, Yû";"M"
531879;"Fujima, Kango";"M"
531886;"Fujima, Toyonosuke";"M"
531900;"Fujimori, Masaaki";"M"
531932;"Fujimoto, Michael N.";"M"
531936;"Fujimoto, Paul";"M"
531945;"Fujimoto, Tak";"M"
531999;"Fujio, Jerry";"M"
532006;"Fujioka, John";"M"
532115;"Fujita, Susumu (I)";"M"
532151;"Fujiwara, Akiyoshi";"M"
532161;"Fujiwara, Kamatari";"M"
532194;"Fujiwara, Toshizo";"M"
532205;"Fujiyama, Akihide 'Bo'";"M"
532220;"Fujiyoshi, Masaharu";"M"
532241;"Fukagawa, Roy T.";"M"
532283;"Fukawa, Masaaki";"M"
532304;"Fukazi, Chester";"M"
532359;"Fukuda, Kenji (II)";"M"
532388;"Fukuda, Wataru";"M"
532472;"Fukunaga, Yoshikazu";"M"
532528;"Fukutomi, Makoto";"M"
532548;"Fukuzaki, Rob";"M"
532569;"Fulbright, J. William";"M"
532593;"Fulcher, Stedwell";"M"
532601;"Fulci, Lucio";"M"
532604;"Fulco, Fabio";"M"
532605;"Fulco, Fernando";"M"
532634;"Fulford, Christopher";"M"
532687;"Fulk, Mike (I)";"M"
532731;"Fullarton, Alistair";"M"
532748;"Fuller Jr., Anthony L.";"M"
532766;"Fuller, Anthony";"M"
532769;"Fuller, Arthur Louis";"M"
532775;"Fuller, Bill (I)";"M"
532795;"Fuller, Bruce Spaulding";"M"
532802;"Fuller, Cameron";"M"
532838;"Fuller, David J.";"M"
532845;"Fuller, Donny";"M"
532869;"Fuller, George D.";"M"
532956;"Fuller, Kurt (I)";"M"
532959;"Fuller, Lance";"M"
532968;"Fuller, Leon 'Lee'";"M"
533048;"Fuller, Rob (I)";"M"
533050;"Fuller, Robert (I)";"M"
533051;"Fuller, Robert (III)";"M"
533069;"Fuller, Samuel";"M"
533119;"Fuller, William (I)";"M"
533146;"Fullerton, Jackie";"M"
533159;"Fullerton, Patrick";"M"
533162;"Fullerton, Richard";"M"
533181;"Fullilove, Donald";"M"
533205;"Fullmer, Don";"M"
533206;"Fullmer, Gene";"M"
533213;"Fullmer, Michael";"M"
533339;"Fulton, John (I)";"M"
533343;"Fulton, John Stuart";"M"
533363;"Fulton, Niall Greig";"M"
533375;"Fulton, Rikki";"M"
533381;"Fulton, Rodney Alan";"M"
533389;"Fulton, Stephen";"M"
533405;"Fulton-Smith, Francis";"M"
533440;"Fulwell, Michael";"M"
533469;"Fumanal, José";"M"
533484;"Fumelli, Pietro";"M"
533500;"Fuminashi, Masanori";"M"
533552;"Funakoshi, Eiji";"M"
533565;"Funari, Giuseppe";"M"
533570;"Funaro, Bill";"M"
533578;"Funato, Jun";"M"
533598;"Funches, Garvin";"M"
533605;"Funchess, Stephen";"M"
533671;"Fung, Allan (IV)";"M"
533709;"Fung, Ging Man";"M"
533715;"Fung, Hark-On";"M"
533725;"Fung, Jimmy";"M"
533756;"Fung, Raymond (I)";"M"
533790;"Fung, Willie";"M"
533818;"Funk Jr., Dory";"M"
533859;"Funk, Greg";"M"
533915;"Funk, Terry";"M"
533917;"Funk, Tommy";"M"
533944;"Funke, Ulrich";"M"
533983;"Funny, Dennis Jay";"M"
534033;"Fuqua, Antoine";"M"
534034;"Fuqua, Ardie";"M"
534050;"Fuqua, Joseph";"M"
534101;"Furburg, Curt";"M"
534125;"Furdui, Dumitru";"M"
534143;"Furey, Barney";"M"
534151;"Furey, James";"M"
534154;"Furey, John";"M"
534166;"Furfaro, Adam";"M"
534245;"Furlai, Armando";"M"
534307;"Furlong, Brian";"M"
534318;"Furlong, Edward";"M"
534325;"Furlong, James (IV)";"M"
534329;"Furlong, John (I)";"M"
534333;"Furlong, Kevin";"M"
534588;"Furst, Stephen";"M"
534591;"Furst, Timothy Daniel";"M"
534595;"Furstenfeld, Justin";"M"
534638;"Furth, George";"M"
534655;"Furtwaengler, David";"M"
534748;"Furusawa, Tôru";"M"
534831;"Fury, Ed";"M"
534907;"Fusco, Anthony";"M"
534909;"Fusco, Brian";"M"
534931;"Fusco, John (I)";"M"
534934;"Fusco, Joseph";"M"
535046;"Fusselle, Warner";"M"
535129;"Futamata, Issei";"M"
535142;"Futch, Mark (I)";"M"
535148;"Futcher, Hugh";"M"
535187;"Futterman, Dan";"M"
535205;"Fux, Herbert";"M"
535212;"Fuxa, Chris";"M"
535238;"Fuze";"M"
535289;"Fyfe, Jim";"M"
535290;"Fyfe, Jock";"M"
535292;"Fyfe, Mac";"M"
535296;"Fyfe, Robert (I)";"M"
535310;"Fyffe, Will";"M"
535388;"Fyodorovsky, Natan";"M"
535446;"Fábián, Miklós (I)";"M"
535534;"Félag Eldir borgara Vogum";"M"
535535;"Félag Eldri borgara Reykjavík";"M"
535598;"Féret, René";"M"
535613;"Fésüs, Tamás";"M"
535621;"Fête, Jean-Michel";"M"
535755;"Füchsl, Peter";"M"
535807;"Fülöp, Viktor (I)";"M"
535826;"Füri, Thomas";"M"
535828;"Fürmann, Benno";"M"
535882;"G'Vera, Ivan";"M"
535894;"G, Johnny (I)";"M"
535951;"G., Adam";"M"
536006;"G., Max (I)";"M"
536040;"G., Warren";"M"
536060;"Ga, Yao Er";"M"
536107;"Gaarsland, Wally";"M"
536142;"Gabai, Sasson";"M"
536170;"Gabana, Stefano";"M"
536210;"Gabay, Eli";"M"
536233;"Gabbai, Dario";"M"
536244;"Gabbard, Glendon";"M"
536335;"Gabel, John";"M"
536341;"Gabel, Martin";"M"
536342;"Gabel, Mel";"M"
536343;"Gabel, Michael";"M"
536350;"Gabela, Glen";"M"
536368;"Gabella, Ion";"M"
536435;"Gabin, Jean";"M"
536465;"Gabison, David";"M"
536482;"Gable, Christopher";"M"
536483;"Gable, Clark";"M"
536574;"Gabor, Lutz";"M"
536579;"Gabor, Rudy";"M"
536595;"Gabourie, Dean";"M"
536636;"Gabrick, Ross";"M"
536658;"Gabriel Jr., Lawrence";"M"
536735;"Gabriel, Gene";"M"
536771;"Gabriel, John (I)";"M"
536772;"Gabriel, John (III)";"M"
536865;"Gabriel, Ron (I)";"M"
536898;"Gabriele, Francesco (I)";"M"
536927;"Gabrielli, Cesare";"M"
537005;"Gabrych, Andersen";"M"
537016;"Gabteni, Choukri";"M"
537049;"Gaby, Murray";"M"
537053;"Gabzdyl, Rene";"M"
537140;"Gaczol, Stanislas";"M"
537155;"Gada, Guy";"M"
537191;"Gadbois, Jeff";"M"
537193;"Gadbois, Mark";"M"
537229;"Gaddi, Carlo";"M"
537300;"Gadeek";"M"
537322;"Gaden, John";"M"
537329;"Gader, Tarek";"M"
537331;"Gades, Antonio";"M"
537332;"Gadette, Jerry (I)";"M"
537430;"Gadsden, Calvin";"M"
537499;"Gaekwad, Sunil";"M"
537578;"Gaetani, Nick";"M"
537619;"Gaffari, Cihangir";"M"
537627;"Gaffey, John";"M"
537634;"Gaffigan, Jim";"M"
537674;"Gaffney, Jason";"M"
537802;"Gagarin, Yuri";"M"
537817;"Gage, Bob";"M"
537830;"Gage, Easton";"M"
537832;"Gage, Edward James";"M"
537853;"Gage, Kevin";"M"
537856;"Gage, Loutz";"M"
537880;"Gage, Rodney";"M"
537882;"Gage, Ryan";"M"
537959;"Gagliano, Ted";"M"
538008;"Gagliarducci, Nicholas";"M"
538044;"Gagne, Greg (I)";"M"
538051;"Gagne, Marc";"M"
538144;"Gagnon, Kirk";"M"
538188;"Gagnon, Steven M.";"M"
538212;"Gagné, Jean-Pierre";"M"
538245;"Gagomiros, Dennis";"M"
538311;"Gahr, Michael";"M"
538346;"Gaida, Christopher";"M"
538349;"Gaida, Rayk";"M"
538392;"Gaige, Russell";"M"
538432;"Gail, Max";"M"
538436;"Gail, Scanlon";"M"
538502;"Gaillard, Roger";"M"
538568;"Gainer, James F.";"M"
538592;"Gaines, Boyd";"M"
538613;"Gaines, Davis";"M"
538640;"Gaines, Jim (I)";"M"
538641;"Gaines, Jimmy";"M"
538642;"Gaines, Joe";"M"
538655;"Gaines, Leonard";"M"
538662;"Gaines, Mickey";"M"
538673;"Gaines, Richard (I)";"M"
538684;"Gaines, Roy";"M"
538690;"Gaines, Sonny Jim";"M"
538727;"Gainey, Johnell";"M"
538729;"Gainey, M.C.";"M"
538750;"Gains, Courtney";"M"
538751;"Gains, Herb";"M"
538780;"Gaipa, Corrado";"M"
538879;"Gaitsch, Bruce";"M"
539011;"Gajos, Janusz";"M"
539063;"Gal, Uzi";"M"
539098;"Galacki, Toni";"M"
539228;"Galanis, James";"M"
539269;"Galante, James";"M"
539275;"Galante, Jim";"M"
539294;"Galanti, Paul";"M"
539357;"Galarza, Marcelo";"M"
539378;"Galash, T.J.";"M"
539397;"Galasso, Dave";"M"
539400;"Galasso, Frankie J.";"M"
539448;"Galativk, Grahman L.";"M"
539473;"Galavotti, Remo";"M"
539510;"Galban, Manuel";"M"
539538;"Galbraith, Alastair";"M"
539569;"Galbraith, Ron";"M"
539662;"Gale, Charles (III)";"M"
539673;"Gale, David (I)";"M"
539682;"Gale, Ed";"M"
539698;"Gale, James (I)";"M"
539729;"Gale, Paul (II)";"M"
539733;"Gale, Peter (I)";"M"
539765;"Gale, Vincent (I)";"M"
539767;"Gale, Wesley";"M"
539858;"Galecki, Johnny";"M"
539879;"Galella, Richard";"M"
539904;"Galento, Tony";"M"
539913;"Galeota, Michael";"M"
539927;"Galera, Alejandro";"M"
539931;"Galera, Lucas";"M"
539963;"Galespie, Ian M.";"M"
539988;"Galewsky, David Womack";"M"
540005;"Galfione, Olivier";"M"
540071;"Galiardo, Juan Luis";"M"
540104;"Galicia, Jimmy";"M"
540120;"Galiente, Rocky Reyna";"M"
540147;"Galili, Hal";"M"
540251;"Galindo, Nacho";"M"
540301;"Galione, Jay";"M"
540399;"Galkó, Balázs";"M"
540462;"Galla, Tony";"M"
540466;"Gallaccio, Giuseppe";"M"
540470;"Gallacher, Andrew (II)";"M"
540479;"Gallacher, David";"M"
540480;"Gallacher, Frank (I)";"M"
540481;"Gallacher, Ian (I)";"M"
540486;"Gallacher, Tom (I)";"M"
540506;"Gallagher Jr., Chris";"M"
540543;"Gallagher, Brendan (XII)";"M"
540548;"Gallagher, Brennan";"M"
540599;"Gallagher, David (I)";"M"
540607;"Gallagher, David Drew";"M"
540611;"Gallagher, Dessie";"M"
540648;"Gallagher, Glen";"M"
540662;"Gallagher, Jack (III)";"M"
540665;"Gallagher, Jack (VI)";"M"
540675;"Gallagher, James (V)";"M"
540690;"Gallagher, Jim (I)";"M"
540694;"Gallagher, Jimmy (I)";"M"
540697;"Gallagher, Joe (II)";"M"
540702;"Gallagher, John (I)";"M"
540720;"Gallagher, John Joseph";"M"
540739;"Gallagher, Kevin (I)";"M"
540767;"Gallagher, Mel (I)";"M"
540769;"Gallagher, Michael (II)";"M"
540828;"Gallagher, Peter (I)";"M"
540855;"Gallagher, Rory (I)";"M"
540894;"Gallagher, Thomas (I)";"M"
540916;"Gallagher, Trevor";"M"
540930;"Gallaher, Don";"M"
540943;"Gallaher, Timothy";"M"
540970;"Galland, Jacques";"M"
540982;"Gallanders, James";"M"
541013;"Gallant, Jim";"M"
541034;"Gallant, Mike";"M"
541044;"Gallant, Tom (I)";"M"
541053;"Gallante, Jayme";"M"
541083;"Gallardo, Camilo";"M"
541084;"Gallardo, Carlos (I)";"M"
541124;"Gallardo, José (I)";"M"
541220;"Gallaudet, John";"M"
541250;"Galle, Jack";"M"
541328;"Gallego, Justin";"M"
541396;"Gallegos, Elias";"M"
541413;"Gallegos, Ismael";"M"
541431;"Gallegos, Joshua";"M"
541463;"Gallegos, Scott";"M"
541469;"Gallegos, Timothy";"M"
541512;"Galleoos, Lawrence E.";"M"
541528;"Gallerano, Gene";"M"
541530;"Galleri, Jean-Pierre";"M"
541546;"Gallery, James";"M"
541579;"Galletti, Ray";"M"
541609;"Galli, Allen";"M"
541673;"Galliano, John";"M"
541709;"Gallienne, Guillaume";"M"
541710;"Gallier, Alex";"M"
541719;"Galliford, Matthew";"M"
541730;"Galligan, Zach";"M"
541761;"Gallin, Scotty";"M"
541762;"Gallin, Tim";"M"
541772;"Gallina, Mario (I)";"M"
541797;"Gallini, Mo";"M"
541826;"Gallivan, Chris";"M"
541827;"Gallivan, Colum";"M"
541860;"Gallo, Albert";"M"
541868;"Gallo, André Le";"M"
541882;"Gallo, Billy (I)";"M"
541946;"Gallo, Joe (III)";"M"
541958;"Gallo, Larry (II)";"M"
541960;"Gallo, Lew";"M"
541970;"Gallo, Mario (I)";"M"
542032;"Gallo, Vincent";"M"
542097;"Gallop, Tom";"M"
542111;"Gallotte, Jean-François";"M"
542142;"Galloway, Bob";"M"
542164;"Galloway, Don";"M"
542178;"Galloway, Grady";"M"
542179;"Galloway, Graham (I)";"M"
542186;"Galloway, Jack (I)";"M"
542199;"Galloway, Joey";"M"
542218;"Galloway, Michael (II)";"M"
542232;"Galloway, Roger";"M"
542233;"Galloway, Roy";"M"
542245;"Galloway, Terry";"M"
542253;"Galloway, Victor";"M"
542305;"Gallup, Michael";"M"
542315;"Gallus, Christopher";"M"
542375;"Galo, Igor";"M"
542410;"Galotti, Robert 'Rock'";"M"
542418;"Galouzis, Tom";"M"
542470;"Galstan, Tempa";"M"
542488;"Galt, Galan";"M"
542494;"Galt, John William";"M"
542518;"Galtress, Trevor";"M"
542565;"Galuszka, Sean";"M"
542638;"Galvani, Dino";"M"
542686;"Galvez, Florante P.";"M"
542743;"Galvin, John (IV)";"M"
542809;"Galván, Pedro";"M"
542863;"Galyean, Kyle";"M"
542924;"Galán, Julio (I)";"M"
543059;"Gaman, Tom";"M"
543101;"Gamazo, Aquilino";"M"
543111;"Gamba, Gichi";"M"
543170;"Gambella, Nick";"M"
543182;"Gamberini, Valerio";"M"
543225;"Gambina, Jimmy";"M"
543227;"Gambina, Ralph";"M"
543239;"Gambino, Carlo";"M"
543251;"Gambino, Giuseppe";"M"
543273;"Gambino, Sasalina";"M"
543301;"Gamble, Brian Keith";"M"
543335;"Gamble, Glen";"M"
543377;"Gamble, Mason";"M"
543389;"Gamble, Phil";"M"
543411;"Gamble, Tim (I)";"M"
543417;"Gamble, Val";"M"
543434;"Gamblin, Jacques";"M"
543482;"Gamboa, Joonee";"M"
543526;"Gambon, Michael";"M"
543528;"Gambone, Michel";"M"
543540;"Gambrill, Tom";"M"
543566;"Game, Dave";"M"
543572;"Gameau, Damon";"M"
543589;"Gamelin, Hervé";"M"
543593;"Gamell Jr., Larry";"M"
543646;"Gamez, Joao";"M"
543706;"Gamma Epsilon Chapter of Tau Beta Sigma National Band Honorary Society";"M"
543737;"Gammell, Robin";"M"
543756;"Gammill, Tom (II)";"M"
543766;"Gammon, James (I)";"M"
543773;"Gammon, Kwamé";"M"
543809;"Gamoke, John Paul";"M"
543832;"Gampe, Michael";"M"
543834;"Gampel, Chris";"M"
543840;"Gampu, Ken";"M"
543881;"Gan, Chester";"M"
543940;"Ganam, Shaye";"M"
543952;"Ganapoler, Louis";"M"
543953;"Ganapoler, Martin";"M"
543969;"Ganatra, Nitin";"M"
543971;"Ganatra, Ravin J.";"M"
543999;"Ganchev, George";"M"
544021;"Gandam, Charn";"M"
544111;"Gandhi, Rusi";"M"
544151;"Gandini, Sean";"M"
544174;"Gandolfini, James";"M"
544275;"Ganeev, Raoul";"M"
544284;"Ganem, Abi";"M"
544352;"Ganev, Mikhail";"M"
544354;"Ganev, Valentin";"M"
544367;"Gang, Cheu";"M"
544376;"Gang, James";"M"
544412;"Gangadeen, Andy";"M"
544451;"Ganger, Ben Ryan";"M"
544453;"Ganger, Toby Scott";"M"
544493;"Gangopadhaya, Rama";"M"
544527;"Ganguli, Subodh";"M"
544638;"Ganino, Trent Christopher";"M"
544643;"Ganios, Tony";"M"
544652;"Ganis, Sidney";"M"
544683;"Ganley, Jim";"M"
544686;"Ganly, David";"M"
544711;"Gannascoli, Joseph R.";"M"
544742;"Gannon, Chris";"M"
544792;"Gannon, Markham";"M"
544793;"Gannon, Michael 'The Cannon'";"M"
544800;"Gannon, Peter (I)";"M"
544808;"Gannon, Russell";"M"
544833;"Gano, Gordon";"M"
544851;"Ganoung, Richard";"M"
544865;"Gans, Danny";"M"
544870;"Gans, Josh";"M"
544874;"Gans, Ron";"M"
544938;"Gant, Danny";"M"
544940;"Gant, David (I)";"M"
544941;"Gant, David (III)";"M"
544952;"Gant, Harry P.";"M"
544963;"Gant, Kurt";"M"
544969;"Gant, Mtume";"M"
544975;"Gant, Richard";"M"
544976;"Gant, Robert";"M"
545029;"Gantos, Joe";"M"
545035;"Gantry, Donald";"M"
545044;"Gantt, Christian Maurice";"M"
545055;"Gantt, Leland";"M"
545056;"Gantt, Mark";"M"
545057;"Gantt, Neil";"M"
545084;"Gantzler, Peter";"M"
545090;"Ganun, John";"M"
545092;"Ganus, Paul";"M"
545110;"Ganz, Bruno";"M"
545116;"Ganz, Lowell";"M"
545172;"Gao, Enman";"M"
545212;"Gao, Qiang";"M"
545232;"Gao, Weiming";"M"
545236;"Gao, Xiao-Hua";"M"
545244;"Gao, Yang (I)";"M"
545268;"Gaona, Alex";"M"
545286;"Gaona, Richie";"M"
545364;"Garabedian, Colby Sawyer";"M"
545539;"Garay III, Joaquin";"M"
545564;"Garay, Joaquin";"M"
545568;"Garay, Manuel";"M"
545588;"Garaza, Ray";"M"
545617;"Garbarino, Mark";"M"
545618;"Garbarino, Philip";"M"
545652;"Garber, Dennis (I)";"M"
545653;"Garber, Dennis E.";"M"
545670;"Garber, John";"M"
545671;"Garber, Jon";"M"
545674;"Garber, Marc";"M"
545676;"Garber, Matthew (I)";"M"
545684;"Garber, Victor";"M"
545706;"Garbini, Aristide";"M"
545734;"Garbolino, Terrence";"M"
545761;"Garbus, Martin";"M"
545770;"Garbutt, James";"M"
545978;"Garcia, Adam (I)";"M"
545998;"Garcia, Al (I)";"M"
546003;"Garcia, Al Ernest";"M"
546011;"Garcia, Albert Alexander";"M"
546024;"Garcia, Alex (I)";"M"
546075;"Garcia, Andrew (I)";"M"
546085;"Garcia, Andy (I)";"M"
546145;"Garcia, Barney";"M"
546147;"Garcia, Belito";"M"
546160;"Garcia, Bill (II)";"M"
546186;"Garcia, Butch (I)";"M"
546190;"Garcia, Caesar (I)";"M"
546198;"Garcia, Captain";"M"
546282;"Garcia, Dan (II)";"M"
546331;"Garcia, David (IV)";"M"
546339;"Garcia, David (XII)";"M"
546347;"Garcia, David Joe";"M"
546396;"Garcia, Eddie (III)";"M"
546420;"Garcia, Edward (V)";"M"
546463;"Garcia, Ernest M.";"M"
546549;"Garcia, Frederic";"M"
546580;"Garcia, Gilbert (I)";"M"
546626;"Garcia, Henry (III)";"M"
546631;"Garcia, Hugo (I)";"M"
546651;"Garcia, Isaiah (I)";"M"
546720;"Garcia, Jeffrey (I)";"M"
546785;"Garcia, Joel (I)";"M"
546792;"Garcia, John (II)";"M"
546811;"Garcia, Jon (I)";"M"
546886;"Garcia, Jsu";"M"
546907;"Garcia, Juan Luis (II)";"M"
546938;"Garcia, Júlio";"M"
546981;"Garcia, Leo (I)";"M"
547107;"Garcia, Mark Eugene";"M"
547157;"Garcia, Michael N.";"M"
547160;"Garcia, Miguel (II)";"M"
547258;"Garcia, Paul (I)";"M"
547259;"Garcia, Paul (IV)";"M"
547290;"Garcia, Philippe (I)";"M"
547374;"Garcia, Rich (I)";"M"
547387;"Garcia, Rick (I)";"M"
547396;"Garcia, Rick Sky";"M"
547415;"Garcia, Robert (VIII)";"M"
547457;"Garcia, Ron (III)";"M"
547468;"Garcia, Roy (I)";"M"
547546;"Garcia, Steven (I)";"M"
547558;"Garcia, Sunny";"M"
547574;"Garcia, Theodore";"M"
547651;"Garcia, Xan (II)";"M"
547659;"Garcia, Zak";"M"
547683;"Garcia-Rey, Soren";"M"
547711;"Garcin, Henri";"M"
547823;"García Cambero, Carlos";"M"
547824;"García Cambero, Federico";"M"
547945;"García Jr., Andrés";"M"
547948;"García Jr., Silvio";"M"
548032;"García Ortega, Fernando";"M"
548037;"García Ortega, Óscar";"M"
548184;"García Zuazua Jr., Rafael";"M"
548185;"García Zuazua, Rafael";"M"
548189;"García, Abraham";"M"
548220;"García, Alejandro (I)";"M"
548306;"García, Camillo";"M"
548395;"García, Diego (I)";"M"
548413;"García, Eduardo (IV)";"M"
548478;"García, Francisco (II)";"M"
548535;"García, Héctor (I)";"M"
548635;"García, José (II)";"M"
548637;"García, José (VI)";"M"
548660;"García, José Luis (XV)";"M"
548673;"García, José Miguel (I)";"M"
548681;"García, José Ángel";"M"
548686;"García, Juan (IV)";"M"
548715;"García, Juan M. (III)";"M"
548725;"García, Julio (III)";"M"
548768;"García, Luis (II)";"M"
548769;"García, Luis (IV)";"M"
548780;"García, Luis Alberto";"M"
548781;"García, Luis C.";"M"
548816;"García, Manuel L.";"M"
548844;"García, Miguel (II)";"M"
548884;"García, Orlando (I)";"M"
548918;"García, Pedro (XI)";"M"
548959;"García, Raúl (V)";"M"
549025;"García, Santiago (I)";"M"
549034;"García, Saturnino";"M"
549107;"García, Álvaro (I)";"M"
549114;"García, Ángel (I)";"M"
549174;"Gard, Wymer";"M"
549202;"Garde, Christian";"M"
549204;"Garde, James (I)";"M"
549229;"Gardell, Anthony";"M"
549295;"Gardener, Marvin";"M"
549296;"Gardener, Micah";"M"
549319;"Gardenia, Vincent";"M"
549334;"Gardett, Robert";"M"
549371;"Gardiner, Ben (I)";"M"
549402;"Gardiner, James (I)";"M"
549432;"Gardiner, Mark S.";"M"
549442;"Gardiner, Peter (I)";"M"
549449;"Gardiner, Philip M.";"M"
549450;"Gardiner, Reginald";"M"
549477;"Gardiner, William (I)";"M"
549537;"Gardner, Anthony (I)";"M"
549544;"Gardner, Arthur (I)";"M"
549579;"Gardner, Brooks";"M"
549599;"Gardner, Chris (I)";"M"
549605;"Gardner, Chuck (II)";"M"
549611;"Gardner, Craig (I)";"M"
549613;"Gardner, Cyril (II)";"M"
549618;"Gardner, Daniel (I)";"M"
549625;"Gardner, David (I)";"M"
549641;"Gardner, Devin";"M"
549644;"Gardner, Douglas (I)";"M"
549646;"Gardner, Drew (I)";"M"
549649;"Gardner, Earl";"M"
549674;"Gardner, Gary (I)";"M"
549687;"Gardner, Glenn Alan";"M"
549716;"Gardner, Jack (II)";"M"
549727;"Gardner, Jake (II)";"M"
549742;"Gardner, Jeff (I)";"M"
549751;"Gardner, Jerry (I)";"M"
549757;"Gardner, Jimmy (I)";"M"
549768;"Gardner, John (IV)";"M"
549769;"Gardner, John (IX)";"M"
549770;"Gardner, John (VI)";"M"
549788;"Gardner, Jon (I)";"M"
549803;"Gardner, Karl D.";"M"
549829;"Gardner, L.D.";"M"
549854;"Gardner, Mario";"M"
549858;"Gardner, Mark (VII)";"M"
549878;"Gardner, Michael (I)";"M"
549952;"Gardner, Robert S.";"M"
549966;"Gardner, Salo";"M"
550002;"Gardner, Tim (I)";"M"
550004;"Gardner, Tobi";"M"
550010;"Gardner, Tony (I)";"M"
550178;"Gareth, Curt";"M"
550207;"Garfalk, Martin Dahl";"M"
550223;"Garfias, Ruben";"M"
550225;"Garfield";"M"
550226;"Garfield, Allen";"M"
550239;"Garfield, David (I)";"M"
550248;"Garfield, Geoffrey";"M"
550253;"Garfield, J.D.";"M"
550261;"Garfield, Joey";"M"
550262;"Garfield, John (I)";"M"
550314;"Garfinkle, Nick";"M"
550323;"Garfunkel, Art";"M"
550351;"Gargan, Edward";"M"
550353;"Gargan, Jack";"M"
550358;"Gargan, William";"M"
550361;"Gargani, Frank";"M"
550367;"Gargano, Charles A.";"M"
550460;"Garia, Rick";"M"
550553;"Garin, Eric";"M"
550588;"Garino, Gérard";"M"
550608;"Gariss, Dean";"M"
550613;"Garito, Ken";"M"
550617;"Garity, Troy";"M"
550663;"Garland, Chase A.";"M"
550712;"Garland, Life (I)";"M"
550763;"Garland, Tommy";"M"
550806;"Garlick, Stephen (I)";"M"
550818;"Garlin, Jeff";"M"
550853;"Garlotta, Frank J.";"M"
550879;"Garman, Ralph";"M"
550907;"Garmey, Terrence";"M"
550912;"Garmon, 'Kmac' Kelly";"M"
550915;"Garmon, Huw";"M"
550926;"Garms, Justin";"M"
550987;"Garner Jr., Leonard R.";"M"
551047;"Garner, Don (I)";"M"
551051;"Garner, Ed";"M"
551078;"Garner, Jack";"M"
551079;"Garner, James (I)";"M"
551105;"Garner, Julian (I)";"M"
551123;"Garner, Martin (I)";"M"
551140;"Garner, Patrick (I)";"M"
551142;"Garner, Paul 'Mousie'";"M"
551170;"Garner, Sam (I)";"M"
551173;"Garner, Stan";"M"
551183;"Garner, Thomas";"M"
551233;"Garnett, Kevin (I)";"M"
551281;"Garnier, Bernard";"M"
551309;"Garnier, Philippe (II)";"M"
551321;"Garnier, Tony";"M"
551345;"Garo, Armen";"M"
551381;"Garofolo, Ettore";"M"
551421;"Garoutte, David L.";"M"
551425;"Garozzo, Michael";"M"
551447;"Garr, Nicholas";"M"
551450;"Garr, Roderick";"M"
551457;"Garrabrandt, Ed (I)";"M"
551474;"Garralaga, Martin";"M"
551483;"Garrani, Ivo";"M"
551534;"Garreau, Bernard";"M"
551552;"Garrel, Maurice";"M"
551617;"Garrett Jr., Ronald";"M"
551628;"Garrett, Al";"M"
551643;"Garrett, Berkley";"M"
551651;"Garrett, Brad (I)";"M"
551677;"Garrett, Cornelius";"M"
551712;"Garrett, Ernie";"M"
551723;"Garrett, Hank";"M"
551735;"Garrett, James (I)";"M"
551753;"Garrett, Joe (II)";"M"
551762;"Garrett, John Robert";"M"
551777;"Garrett, Kay (I)";"M"
551793;"Garrett, Leif";"M"
551796;"Garrett, Luke (I)";"M"
551808;"Garrett, Michael (I)";"M"
551822;"Garrett, Nicholas";"M"
551827;"Garrett, Pat (I)";"M"
551829;"Garrett, Patrick";"M"
551851;"Garrett, Robert (V)";"M"
551877;"Garrett, Shaun (I)";"M"
551878;"Garrett, Shawn (I)";"M"
551884;"Garrett, Spencer (I)";"M"
551957;"Garrick, Richard (I)";"M"
551959;"Garrick, Richard (III)";"M"
551984;"Garrido, Augie";"M"
552023;"Garrido, Joaquín (I)";"M"
552085;"Garrie, John";"M"
552094;"Garriga, Fidel";"M"
552158;"Garris, John";"M"
552159;"Garris, Mick";"M"
552161;"Garris, Philip";"M"
552172;"Garrison, Andy (I)";"M"
552176;"Garrison, Bill";"M"
552195;"Garrison, David (I)";"M"
552219;"Garrison, Grant (II)";"M"
552227;"Garrison, Gregorey";"M"
552229;"Garrison, Harold";"M"
552240;"Garrison, Jim (I)";"M"
552248;"Garrison, Jon";"M"
552259;"Garrison, Larry (I)";"M"
552288;"Garrison, Pat (I)";"M"
552295;"Garrison, Richard (I)";"M"
