"movieid";"title";"year"
1821229;"Circus (2000)";"2000"
1821599;"Citizen Kane (1941)";"1941"
1821619;"Citizen Ruth (1996)";"1996"
1821739;"City Hall (1996)";"1996"
1821769;"City Lights (1931)";"1931"
1821807;"City Slickers II: The Legend of Curly's Gold (1994)";"1994"
1821852;"City of Angels (1998)";"1998"
1821917;"City of Industry (1997)";"1997"
1822415;"Clara's Heart (1988)";"1988"
1822607;"Class (1983)";"1983"
1822639;"Class Reunion (1982)";"1982"
1822675;"Class of Nuke 'Em High (1986)";"1986"
1823008;"Clay Pigeons (1998)";"1998"
1823101;"Clean Slate (1994)";"1994"
1823223;"Clear and Present Danger (1994)";"1994"
1823361;"Clerks. (1994)";"1994"
1823486;"Cliffhanger (1993)";"1993"
1823740;"Clockers (1995)";"1995"
1823753;"Clockwatchers (1997)";"1997"
1823865;"Close Encounters of the Third Kind (1977)";"1977"
1824605;"Clubland (1999)";"1999"
1824615;"Clue (1985)";"1985"
1824623;"Clueless (1995)";"1995"
1824685;"Cléo de 5 à 7 (1962)";"1962"
1824923;"Cobb (1994)";"1994"
1824929;"Cobra (1925)";"1925"
1825343;"Cocoon (1985)";"1985"
1825348;"Cocoon: The Return (1988)";"1988"
1826286;"Coldblooded (1995)";"1995"
1826962;"Color Me Blood Red (1965)";"1965"
1827008;"Color of Night (1994)";"1994"
1827432;"Coma (1978)";"1978"
1827800;"Come See the Paradise (1990)";"1990"
1828055;"Comedian Harmonists (1997)";"1997"
1828413;"Coming Apart (1969)";"1969"
1828447;"Coming Home (1978)";"1978"
1828716;"Commandments (1997)";"1997"
1829030;"Committed (1984)";"1984"
1829152;"Communion (1976)";"1976"
1829153;"Communion (1989)";"1989"
1829283;"Como agua para chocolate (1992)";"1992"
1829882;"Con Air (1997)";"1997"
1830096;"Conan the Barbarian (1982)";"1982"
1830116;"Conceiving Ada (1997)";"1997"
1830497;"Condition Red (1995)";"1995"
1830509;"Condo Painting (2000)";"2000"
1830531;"Condorman (1981)";"1981"
1830564;"Coneheads (1993)";"1993"
1831084;"Congo (1995)";"1995"
1831363;"Conquest of the Planet of the Apes (1972)";"1972"
1831593;"Conspiracy Theory (1997)";"1997"
1831790;"Contact (1997)";"1997"
1831904;"Conte d'automne (1998)";"1998"
1832668;"Coogan's Bluff (1968)";"1968"
1832720;"Cookie's Fortune (1999)";"1999"
1832832;"Cool Hand Luke (1967)";"1967"
1832852;"Cool Runnings (1993)";"1993"
1832872;"Cool as Ice (1991)";"1991"
1832956;"Cop Land (1997)";"1997"
1833143;"Cops and Robbersons (1994)";"1994"
1833175;"Copycat (1995)";"1995"
1833995;"Corrina, Corrina (1994)";"1994"
1834154;"Cortázar (1994)";"1994"
1834266;"Cosi (1996)";"1996"
1834423;"Costa Brava (1946)";"1946"
1834632;"Cotton Mary (1999)";"1999"
1835117;"Country (1984)";"1984"
1835175;"Country Life (1994)";"1994"
1835296;"Coup de torchon (1981)";"1981"
1835442;"Courage Under Fire (1996)";"1996"
1835618;"Cousin Bette (1998)";"1998"
1836147;"Coyote Ugly (2000)";"2000"
1836375;"Cradle Will Rock (1999)";"1999"
1836516;"Crash (1996)";"1996"
1836984;"Crazy in Alabama (1999)";"1999"
1837319;"Creature (1999)";"1999"
1837323;"Creature Comforts (1989)";"1989"
1837340;"Creature from the Black Lagoon (1954)";"1954"
1837467;"Creepshow (1982)";"1982"
1837469;"Creepshow 2 (1987)";"1987"
1837764;"Crime + Punishment in Suburbia (2000)";"2000"
1837962;"Crimes and Misdemeanors (1989)";"1989"
1837991;"Crimes of the Heart (1986)";"1986"
1838092;"Criminals (1913)";"1913"
1838160;"Crimson Tide (1995)";"1995"
1838360;"Critical Care (1997)";"1997"
1838411;"Crna macka, beli macor (1998)";"1998"
1838481;"Crocodile Dundee (1986)";"1986"
1838568;"Cronos (1993)";"1993"
1838619;"Crooklyn (1994)";"1994"
1838773;"Cross of Iron (1977)";"1977"
1838850;"Crossfire (1947)";"1947"
1839137;"Croupier (1998)";"1998"
1839311;"Cruel Intentions (1999)";"1999"
1839442;"Crumb (1994)";"1994"
1839754;"Cry, the Beloved Country (1995)";"1995"
1840524;"Cube (1997)";"1997"
1840882;"Cujo (1983)";"1983"
1841896;"Curdled (1996)";"1996"
1842301;"Curtis's Charm (1995)";"1995"
1842580;"Cutter's Way (1981)";"1981"
1842584;"Cutthroat Island (1995)";"1995"
1843039;"Cyrano de Bergerac (1990)";"1990"
1843756;"D2: The Mighty Ducks (1994)";"1994"
1843757;"D3: The Mighty Ducks (1996)";"1996"
1844312;"Da hong deng long gao gao gua (1991)";"1991"
1844854;"Daddy Long Legs (1931)";"1931"
1844997;"Dadetown (1995)";"1995"
1845075;"Daens (1992)";"1992"
1846390;"Damien: Omen II (1978)";"1978"
1846990;"Dance with Me (1998)";"1998"
1847035;"Dancemaker (1998)";"1998"
1847048;"Dancer in the Dark (2000)";"2000"
1847051;"Dancer, Texas Pop. 81 (1998)";"1998"
1847080;"Dances with Wolves (1990)";"1990"
1847235;"Dancing at Lughnasa (1998)";"1998"
1847595;"Dangerous Beauty (1998)";"1998"
1847692;"Dangerous Game (1993)";"1993"
1847699;"Dangerous Ground (1997)";"1997"
1847722;"Dangerous Liaisons (1988)";"1988"
1847739;"Dangerous Minds (1995)";"1995"
1848628;"Dante's Peak (1997)";"1997"
1848859;"Darby O'Gill and the Little People (1959)";"1959"
1849147;"Dark City (1998)";"1998"
1849156;"Dark Command (1940)";"1940"
1850182;"Das Boot (1981)";"1981"
1851750;"Das Superweib (1996)";"1996"
1851871;"Das Versprechen (1995)";"1995"
1852854;"Date with an Angel (1987)";"1987"
1852976;"Daughter of Dr. Jekyll (1957)";"1957"
1853052;"Daughters of the Dust (1991)";"1991"
1853104;"Dave (1993)";"1993"
1853531;"Davy Crockett: King of the Wild Frontier (1955)";"1955"
1854045;"Daylight (1996)";"1996"
1854142;"Days of Heaven (1978)";"1978"
1854166;"Days of Thunder (1990)";"1990"
1854233;"Dazed and Confused (1993)";"1993"
1854918;"De eso no se habla (1993)";"1993"
1856252;"Dead Again (1991)";"1991"
1856325;"Dead Calm (1989)";"1989"
1856595;"Dead Man (1995)";"1995"
1856608;"Dead Man Walking (1995)";"1995"
1856613;"Dead Man on Campus (1998)";"1998"
1856672;"Dead Men Don't Wear Plaid (1982)";"1982"
1856727;"Dead Poets Society (1989)";"1989"
1856731;"Dead Presidents (1995)";"1995"
1856763;"Dead Ringers (1988)";"1988"
1856939;"Dead by Dawn (1998)";"1998"
1857326;"Deadly Friend (1986)";"1986"
1857496;"Deadtime Stories (1986)";"1986"
1857769;"Dear God (1996)";"1996"
1857796;"Dear Jesse (1998)";"1998"
1858038;"Death Becomes Her (1992)";"1992"
1858357;"Death Wish (1974)";"1974"
1858361;"Death Wish 3 (1985)";"1985"
1858362;"Death Wish 4: The Crackdown (1987)";"1987"
1858363;"Death Wish II (1982)";"1982"
1858364;"Death Wish V: The Face of Death (1994)";"1994"
1858396;"Death and the Maiden (1994)";"1994"
1858463;"Death in Brunswick (1990)";"1990"
1859092;"Deceiver (1997)";"1997"
1859351;"Deconstructing Harry (1997)";"1997"
1859542;"Deep Blue Sea (1999)";"1999"
1859617;"Deep Impact (1998)";"1998"
1859753;"Deep Rising (1998)";"1998"
1860181;"Defending Your Life (1991)";"1991"
1860327;"Defying Gravity (1997)";"1997"
1860806;"Delicatessen (1991)";"1991"
1861004;"Deliverance (1972)";"1972"
1861112;"Dellamorte Dellamore (1994)";"1994"
1861202;"Delta of Venus (1995)";"1995"
1861514;"Demolition Man (1993)";"1993"
1862412;"Denise Calls Up (1995)";"1995"
1864055;"Der Himmel über Berlin (1987)";"1987"
1864846;"Der Name der Rose (1986)";"1986"
1866000;"Der Unhold (1996)";"1996"
1866391;"Der bewegte Mann (1994)";"1994"
1866400;"Der blaue Engel (1930)";"1930"
1867752;"Dersu Uzala (1961)";"1961"
1868310;"Desert Bloom (1986)";"1986"
1868312;"Desert Blue (1998)";"1998"
1868452;"Desert Winds (1995)";"1995"
1868890;"Desperado (1995)";"1995"
1869010;"Desperate Measures (1998)";"1998"
1869092;"Desperately Seeking Susan (1985)";"1985"
1869304;"Destination Moon (1950)";"1950"
1869461;"Destiny Turns on the Radio (1995)";"1995"
1869771;"Det sjunde inseglet (1957)";"1957"
1870038;"Deterrence (1999)";"1999"
1870132;"Detroit 9000 (1973)";"1973"
1870151;"Detroit Rock City (1999)";"1999"
1870221;"Deuce Bigalow: Male Gigolo (1999)";"1999"
1870751;"Devil Girl from Mars (1954)";"1954"
1870798;"Devil in a Blue Dress (1995)";"1995"
1871727;"Diabolique (1996)";"1996"
1871833;"Dial M for Murder (1954)";"1954"
1872091;"Diamonds (1999)";"1999"
1872587;"Dick (1999)";"1999"
1872662;"Dick Tracy (1990)";"1990"
1873263;"Die Blechtrommel (1979)";"1979"
1874279;"Die Hard (1988)";"1988"
1874284;"Die Hard 2 (1990)";"1990"
1874295;"Die Hard: With a Vengeance (1995)";"1995"
1875013;"Die Macht der Bilder: Leni Riefenstahl (1993)";"1993"
1875764;"Die Salzmänner von Tibet (1997)";"1997"
1875962;"Die Siebtelbauern (1998)";"1998"
1876090;"Die Spinnen, 1. Teil - Der Goldene See (1919)";"1919"
1878227;"Diebinnen (1996)";"1996"
1878537;"Different for Girls (1996)";"1996"
1878658;"Digging to China (1977)";"1977"
1878669;"Digimon: The Movie (2000)";"2000"
1879298;"Diner (1982)";"1982"
1879358;"Dingo (1991)";"1991"
1879599;"Dinosaur (2000)";"2000"
1879793;"Dip huet seung hung (1989)";"1989"
1880202;"Dirty Dancing (1987)";"1987"
1880648;"Dirty Work (1998)";"1998"
1880846;"Disclosure (1994)";"1994"
1881802;"Disturbing Behavior (1998)";"1998"
1881868;"Diva (1981)";"1981"
1883153;"Do the Right Thing (1989)";"1989"
1883527;"Doctor Dolittle (1967)";"1967"
1883528;"Doctor Dolittle (1998)";"1998"
1883660;"Doctor Zhivago (1965)";"1965"
1883995;"Dog Day Afternoon (1975)";"1975"
1884087;"Dog Park (1998)";"1998"
1884286;"Dogma (1999)";"1999"
1885039;"Dolores Claiborne (1995)";"1995"
1885177;"Dom za vesanje (1988)";"1988"
1885734;"Don Juan DeMarco (1994)";"1994"
1886005;"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)";"1996"
1886830;"Dong gong xi gong (1996)";"1996"
1887066;"Donnie Brasco (1997)";"1997"
1888102;"Dos crímenes (1995)";"1995"
1888780;"Double Happiness (1994)";"1994"
1888811;"Double Indemnity (1944)";"1944"
1888823;"Double Jeopardy (1999)";"1999"
1889009;"Double Team (1997)";"1997"
1889253;"Doug's 1st Movie (1999)";"1999"
1889491;"Down Periscope (1996)";"1996"
1889579;"Down by Law (1986)";"1986"
1889621;"Down in the Delta (1998)";"1998"
1889788;"Down to You (2000)";"2000"
1889850;"Downhill (1927)";"1927"
1890357;"Dr. No (1962)";"1962"
1890437;"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)";"1964"
1890515;"Dracula (1931)";"1931"
1890516;"Dracula (1958)";"1958"
1890522;"Dracula (1992)";"1992"
1890588;"Dracula: Dead and Loving It (1995)";"1995"
1890829;"DragonHeart (1996)";"1996"
1891484;"Dream Man (1991)";"1991"
1891605;"Dream for an Insomniac (1996)";"1996"
1891649;"Dream with the Fishes (1997)";"1997"
1891803;"Dreaming of Joseph Lees (1999)";"1999"
1892010;"Dreamscape (1984)";"1984"
1892794;"Drive Me Crazy (1999)";"1999"
1892991;"Driving Miss Daisy (1989)";"1989"
1893207;"Drop Dead Fred (1991)";"1991"
1893210;"Drop Dead Gorgeous (1999)";"1999"
1893245;"Drop Zone (1994)";"1994"
1893343;"Drowning Mona (2000)";"2000"
1893483;"Drugstore Cowboy (1989)";"1989"
1893657;"Drunks (1995)";"1995"
1894338;"Duck Soup (1933)";"1933"
1894453;"Dudley Do-Right (1999)";"1999"
1894619;"Duel in the Sun (1946)";"1946"
1894753;"Duets (2000)";"2000"
1895102;"Dumb & Dumber (1994)";"1994"
1895159;"Dumbo (1941)";"1941"
1895286;"Dune (1984)";"1984"
1895298;"Dung che sai duk (1994)";"1994"
1895425;"Dunston Checks In (1996)";"1996"
1895463;"Duo luo tian shi (1995)";"1995"
1896345;"Dying Young (1991)";"1991"
1896980;"Déjà Vu (1997)";"1997"
1897539;"E la nave va (1983)";"1983"
1897778;"E.T. the Extra-Terrestrial (1982)";"1982"
1898323;"Earth vs. the Flying Saucers (1956)";"1956"
1898372;"Earthquake (1974)";"1974"
1898449;"East Is East (1999)";"1999"
1898539;"East of Eden (1955)";"1955"
1898779;"Easy Money (1983)";"1983"
1898814;"Easy Rider (1969)";"1969"
1898834;"Easy Virtue (1928)";"1928"
1898971;"Eaten Alive (1977)";"1977"
1899474;"Echte Kerle (1996)";"1996"
1899694;"Ed (1996)";"1996"
1899730;"Ed Wood (1994)";"1994"
1899741;"Ed's Next Move (1996)";"1996"
1899769;"Eddie (1996)";"1996"
1899880;"Eden (1982)";"1982"
1900069;"Edge of Seventeen (1998)";"1998"
1900319;"Edtv (1999)";"1999"
1900465;"Edward Scissorhands (1990)";"1990"
1901554;"Eight Days a Week (1997)";"1997"
1903954;"El Callejón de los Milagros (1995)";"1995"
1904083;"El Dorado (1963)";"1963"
1904548;"El abuelo (1998)";"1998"
1904704;"El amor brujo (1986)";"1986"
1906242;"El día de la bestia (1995)";"1995"
1907821;"El mariachi (1992)";"1992"
1910848;"Election (1999)";"1999"
1911817;"Elizabeth (1998)";"1998"
1912439;"Elstree Calling (1930)";"1930"
1913354;"Emma (1996)";"1996"
1913703;"Empire Records (1995)";"1995"
1914108;"En avoir (ou pas) (1995)";"1995"
1914192;"En compagnie d'Antonin Artaud (1993)";"1993"
1915247;"Enchanted April (1991)";"1991"
1915291;"Encino Man (1992)";"1992"
1915498;"End of Days (1999)";"1999"
1915861;"Endurance (1999)";"1999"
1915987;"Enemy of the State (1998)";"1998"
1916996;"Entertaining Angels: The Dorothy Day Story (1996)";"1996"
1917129;"Entrapment (1999)";"1999"
1918307;"Eraser (1996)";"1996"
1918312;"Eraserhead (1977)";"1977"
1918615;"Erin Brockovich (2000)";"2000"
1919846;"Escape from L.A. (1996)";"1996"
1919853;"Escape from New York (1981)";"1981"
1919898;"Escape from the Planet of the Apes (1971)";"1971"
1919947;"Escape to Witch Mountain (1975)";"1975"
1920973;"Est - Ouest (1999)";"1999"
1921463;"Et Dieu... créa la femme (1956)";"1956"
1922080;"Etz Hadomim Tafus (1994)";"1994"
1922571;"European Vacation (1985)";"1985"
1923001;"Eve's Bayou (1997)";"1997"
1923072;"Even Cowgirls Get the Blues (1993)";"1993"
1923165;"Event Horizon (1997)";"1997"
1923244;"EverAfter (1998)";"1998"
1923287;"Everest (1998)";"1998"
1923531;"Every Other Weekend (2008)";"2008"
1923821;"Everyone Says I Love You (1996)";"1996"
1923955;"Everything Relative (1996)";"1996"
1923981;"Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972)";"1972"
1924384;"Evita (1996)";"1996"
1924700;"Excalibur (1981)";"1981"
1924755;"Excess Baggage (1997)";"1997"
1924959;"Executive Decision (1996)";"1996"
1925337;"Exit to Eden (1994)";"1994"
1925449;"Exorcist II: The Heretic (1977)";"1977"
1925477;"Exotica (1994)";"1994"
1925610;"Experience Preferred... But Not Essential (1982)";"1982"
1926507;"Extreme Measures (1996)";"1996"
1926668;"Extremities (1986)";"1986"
1926854;"Eye for an Eye (1996)";"1996"
1926866;"Eye of the Beholder (1999)";"1999"
1927003;"Eyes Wide Shut (1999)";"1999"
1927004;"Eyes Without a Face (1960)";"1960"
1927021;"Eyes of Laura Mars (1978)";"1978"
1927338;"F/X (1986)";"1986"
1927339;"F/X2 (1991)";"1991"
1927950;"Face/Off (1997)";"1997"
1928004;"Faces (1923)";"1923"
1928609;"Fair Game (1995)";"1995"
1928755;"FairyTale: A True Story (1997)";"1997"
1928940;"Faithful (1996)";"1996"
1929146;"Falkens öga (1998)";"1998"
1929151;"Fall (1997)";"1997"
1929205;"Fall Time (1995)";"1995"
1929262;"Fallen (1998)";"1998"
1929431;"Falling Down (1993)";"1993"
1929514;"Falling in Love Again (1980)";"1980"
1930227;"Family Plot (1976)";"1976"
1930572;"Fandango (1985)";"1985"
1930730;"Fanny och Alexander (1982)";"1982"
1930793;"Fantasia (1940)";"1940"
1930810;"Fantasia/2000 (1999)";"1999"
1930942;"Fantastic Voyage (1966)";"1966"
1931213;"Far and Away (1992)";"1992"
1931235;"Far from Home: The Adventures of Yellow Dog (1995)";"1995"
1931489;"Fargo (1996)";"1996"
1931497;"Farinelli (1994)";"1994"
1931607;"Farmer & Chase (1997)";"1997"
1932160;"Fast Times at Ridgemont High (1982)";"1982"
1932207;"Fast, Cheap & Out of Control (1997)";"1997"
1932235;"Faster, Pussycat! Kill! Kill! (1965)";"1965"
1932389;"Fatal Attraction (1987)";"1987"
1932393;"Fatal Beauty (1987)";"1987"
1932451;"Fatal Instinct (1993)";"1993"
1932817;"Father of the Bride (1950)";"1950"
1932819;"Father of the Bride Part II (1995)";"1995"
1932958;"Fathers' Day (1997)";"1997"
1933191;"Faust (1994)";"1994"
1933254;"Fausto (1993)";"1993"
1933459;"Fear (1996)";"1996"
1933552;"Fear and Loathing in Las Vegas (1998)";"1998"
1933599;"Fear of a Black Hat (1993)";"1993"
1933633;"Fearless (1993)";"1993"
1933702;"Feast of July (1995)";"1995"
1933830;"Federal Hill (1994)";"1994"
1934075;"Feeling Minnesota (1996)";"1996"
1934260;"Fei ying gai wak (1991)";"1991"
1934406;"Felicia's Journey (1999)";"1999"
1934787;"Female Perversions (1996)";"1996"
1935106;"Feng yue (1996)";"1996"
1935417;"Ferris Bueller's Day Off (1986)";"1986"
1935619;"Festen (1998)";"1998"
1936069;"Fever Pitch (1997)";"1997"
1936394;"Field of Dreams (1989)";"1989"
1936478;"Fierce Creatures (1997)";"1997"
1936800;"Fight Club (1999)";"1999"
1938005;"Fin août, début septembre (1998)";"1998"
1938142;"Final Destination (2000)";"2000"
1938743;"Finding North (1998)";"1998"
1939369;"Fire Down Below (1997)";"1997"
1939525;"Fire on the Mountain (1996)";"1996"
1939666;"Firelight (1997)";"1997"
1939754;"Firestarter (1984)";"1984"
1939762;"Firestorm (1998)";"1998"
1939775;"Firewalker (1986)";"1986"
1939900;"First Blood (1982)";"1982"
1940096;"First Kid (1996)";"1996"
1940121;"First Knight (1995)";"1995"
1940174;"First Love, Last Rites (1997)";"1997"
1941011;"Fitzcarraldo (1982)";"1982"
1941100;"Five Easy Pieces (1970)";"1970"
1941271;"Five Wives, Three Secretaries and Me (1998)";"1998"
1941902;"Flashdance (1983)";"1983"
1942017;"Flatliners (1990)";"1990"
1942058;"Flawless (1999)";"1999"
1942083;"Fled (1996)";"1996"
1942223;"Flesh and Bone (1993)";"1993"
1942296;"Fletch (1985)";"1985"
1942299;"Fletch Lives (1989)";"1989"
1942625;"Flight of the Navigator (1986)";"1986"
1942758;"Flipper (1996)";"1996"
1942787;"Flirt (1995)";"1995"
1942828;"Flirting with Disaster (1996)";"1996"
1942898;"Floating (1997)";"1997"
1943470;"Flubber (1997)";"1997"
1943586;"Fluke (1995)";"1995"
1943718;"Fly Away Home (1996)";"1996"
1943961;"Flying Tigers (1942)";"1942"
1944457;"Follow the Bitch (1996)";"1996"
1944510;"Following (1998)";"1998"
1944862;"Foolish (1999)";"1999"
1944905;"Fools Rush In (1997)";"1997"
1945150;"Footloose (1984)";"1984"
1945248;"For All Mankind (1989)";"1989"
1945371;"For Ever Mozart (1996)";"1996"
1945579;"For Love of the Game (1999)";"1999"
1945589;"For Love or Money (1993)";"1993"
1945700;"For Richer or Poorer (1997)";"1997"
1945816;"For Whom the Bell Tolls (1943)";"1943"
1945855;"For Your Eyes Only (1981)";"1981"
1946023;"For the Love of Benji (1977)";"1977"
1946107;"For the Moment (1993)";"1993"
1946327;"Forbidden Planet (1956)";"1956"
1946379;"Force 10 from Navarone (1978)";"1978"
1946397;"Force of Evil (1948)";"1948"
1946463;"Forces of Nature (1999)";"1999"
1946562;"Foreign Correspondent (1940)";"1940"
1946595;"Foreign Student (1994)";"1994"
1946833;"Forever Young (1992)";"1992"
1946963;"Forget Paris (1995)";"1995"
1947355;"Forrest Gump (1994)";"1994"
1948277;"Four Rooms (1995)";"1995"
1948340;"Four Weddings and a Funeral (1994)";"1994"
1948561;"Foxfire (1996)";"1996"
1949144;"Frances (1982)";"1982"
1949444;"Frank and Ollie (1995)";"1995"
1949502;"Frankenstein (1931)";"1931"
1949508;"Frankenstein (1994)";"1994"
1949526;"Frankenstein Meets the Wolf Man (1943)";"1943"
1949624;"Frankie Starlight (1995)";"1995"
1950286;"Freaky Friday (1976)";"1976"
1950466;"Freddy's Dead: The Final Nightmare (1991)";"1991"
1950577;"Free Enterprise (1998)";"1998"
1950688;"Free Willy (1993)";"1993"
1950689;"Free Willy 2: The Adventure Home (1995)";"1995"
1950690;"Free Willy 3: The Rescue (1997)";"1997"
1950946;"Freejack (1992)";"1992"
1951003;"Freeway (1996)";"1996"
1951279;"French Kiss (1995)";"1995"
1951390;"Frenzy (1972)";"1972"
1951397;"Frequency (2000)";"2000"
1951417;"Fresa y chocolate (1993)";"1993"
1951428;"Fresh (1994)";"1994"
1951931;"Friday (1995)";"1995"
1951984;"Friday the 13th (1980)";"1980"
1951988;"Friday the 13th Part 2 (1981)";"1981"
1951989;"Friday the 13th Part III (1982)";"1982"
1951990;"Friday the 13th Part VII: The New Blood (1988)";"1988"
1951991;"Friday the 13th Part VIII: Jason Takes Manhattan (1989)";"1989"
1951993;"Friday the 13th: A New Beginning (1985)";"1985"
1952001;"Friday the 13th: The Final Chapter (1984)";"1984"
1952054;"Fried Green Tomatoes (1991)";"1991"
1952201;"Friends & Lovers (1999)";"1999"
1952386;"Fright Night (1985)";"1985"
1952391;"Fright Night Part 2 (1988)";"1988"
1952490;"Frisk (1995)";"1995"
1952676;"Frogs for Snakes (1998)";"1998"
1952847;"From Dusk Till Dawn (1996)";"1996"
1952923;"From Here to Eternity (1953)";"1953"
1953106;"From Russia with Love (1963)";"1963"
1953354;"From the Hip (1987)";"1987"
1953362;"From the Journals of Jean Seberg (1995)";"1995"
1955153;"Full Metal Jacket (1987)";"1987"
1955207;"Full Speed (1925)";"1925"
1955231;"Full Tilt Boogie (1997)";"1997"
1955340;"Fun & Fancy Free (1947)";"1947"
1955728;"Funny Bones (1995)";"1995"
1955747;"Funny Face (1957)";"1957"
1955750;"Funny Farm (1988)";"1988"
1957176;"G.I. Blues (1960)";"1960"
1957184;"G.I. Jane (1997)";"1997"
1957472;"Gabbeh (1996)";"1996"
1958267;"Galaxy Quest (1999)";"1999"
1959117;"Gandhi (1982)";"1982"
1959300;"Gang Related (1997)";"1997"
1960531;"Gaslight (1944)";"1944"
1960768;"Gattaca (1997)";"1997"
1961185;"Gazon maudit (1995)";"1995"
1962315;"Gendernauts - Eine Reise durch die Geschlechter (1999)";"1999"
1963038;"Gentleman's Agreement (1947)";"1947"
1963417;"George of the Jungle (1997)";"1997"
1963479;"Georgia (1995)";"1995"
1963756;"Germinal (1993)";"1993"
1963794;"Geronimo: An American Legend (1993)";"1993"
1964069;"Get Bruce (1999)";"1999"
1964073;"Get Carter (1971)";"1971"
1964074;"Get Carter (2000)";"2000"
1964200;"Get Over It (1996)";"1996"
1964209;"Get Real (1998)";"1998"
1964242;"Get Shorty (1995)";"1995"
1964339;"Get on the Bus (1996)";"1996"
1964467;"Getting Away with Murder (1996)";"1996"
1964503;"Getting Even with Dad (1994)";"1994"
1965214;"Ghost (1990)";"1990"
1965236;"Ghost Busters (1984)";"1984"
1965261;"Ghost Dog: The Way of the Samurai (1999)";"1999"
1965516;"Ghostbusters II (1989)";"1989"
1965632;"Ghosts of Mississippi (1996)";"1996"
1965850;"Giant (1956)";"1956"
1966241;"Gigi (1958)";"1958"
1966349;"Gilda (1946)";"1946"
1966580;"Ging chaat goo si 4: Ji gaan daan yam mo (1996)";"1996"
1966583;"Ging chat goo si 3: Chiu kup ging chat (1992)";"1992"
1967074;"Girl 6 (1996)";"1996"
1967290;"Girl in the Cadillac (1995)";"1995"
1967379;"Girl, Interrupted (1999)";"1999"
1967389;"Girlfight (2000)";"2000"
1967955;"Girls Town (1996)";"1996"
1968813;"Gladiator (2000)";"2000"
1969187;"Glen or Glenda (1953)";"1953"
1969197;"Glengarry Glen Ross (1992)";"1992"
1969753;"Gloria (1999)";"1999"
1969851;"Glory (1989)";"1989"
1969868;"Glory Daze (1995)";"1995"
1970159;"Go (1999)";"1999"
1970215;"Go Fish (1994)";"1994"
1970300;"Go Now (1995)";"1995"
1970338;"Go West (1925)";"1925"
1970505;"Goat on Fire and Smiling Fish (1999)";"1999"
1970696;"God Said, 'Ha!' (1998)";"1998"
1970861;"God's Gift (2006)";"2006"
1971093;"Gods and Monsters (1998)";"1998"
1971149;"Godzilla (1998)";"1998"
1971464;"Going My Way (1944)";"1944"
1971706;"Gojira (1954)";"1954"
1971707;"Gojira (1984)";"1984"
1971712;"Gojira ni-sen mireniamu (1999)";"1999"
1971929;"Gold Diggers: The Secret of Bear Mountain (1995)";"1995"
1972108;"Golden Earrings (1947)";"1947"
1972287;"GoldenEye (1995)";"1995"
1972324;"Goldfinger (1964)";"1964"
1972807;"Gone Fishin' (1997)";"1997"
1972854;"Gone in 60 Seconds (1974)";"1974"
1972884;"Gone with the Wind (1939)";"1939"
1973432;"Good Morning, Vietnam (1987)";"1987"
1973625;"Good Will Hunting (1997)";"1997"
1973808;"Goodbye Lover (1998)";"1998"
1973922;"Goodfellas (1990)";"1990"
1974272;"Gordy (1995)";"1995"
1974519;"Gospa (1995)";"1995"
1974583;"Gossip (1912)";"1912"
1974724;"Gothic (1986)";"1986"
1974984;"Goya en Burdeos (1999)";"1999"
1975181;"Grace of My Heart (1996)";"1996"
1975609;"Grand Canyon (1991)";"1991"
1975664;"Grand Hotel (1932)";"1932"
1976109;"Grandview, U.S.A. (1984)";"1984"
1976319;"Grateful Dead (1995)";"1995"
1976454;"Graveyard Shift (1990)";"1990"
1976610;"Grease (1978)";"1978"
1976612;"Grease 2 (1982)";"1982"
1976643;"Greaser's Palace (1972)";"1972"
1976777;"Great Expectations (1998)";"1998"
1977589;"Gremlins (1984)";"1984"
1977592;"Gremlins 2: The New Batch (1990)";"1990"
1977857;"Gridlock'd (1997)";"1997"
1978263;"Groove (2000)";"2000"
1978309;"Grosse Pointe Blank (1997)";"1997"
1978312;"Grosse fatigue (1994)";"1994"
1978415;"Groundhog Day (1993)";"1993"
1978778;"Grumpier Old Men (1995)";"1995"
1978782;"Grumpy Old Men (1993)";"1993"
1979111;"Guantanamera (1995)";"1995"
1979164;"Guardian Angel (1912)";"1912"
1979447;"Guess Who's Coming to Dinner (1967)";"1967"
1979839;"Guilty as Sin (1993)";"1993"
1979883;"Guinevere (1999)";"1999"
1980073;"Gulliver's Travels (1939)";"1939"
1980149;"Gumby 1 (1995)";"1995"
1980267;"Gun Shy (2000)";"2000"
1980412;"Gung Ho (1986)";"1986"
1981072;"Guy (1997)";"1997"
1981170;"Guys and Dolls (1955)";"1955"
1981506;"Gypsy (1962)";"1962"
1982133;"H.O.T.S. (1979)";"1979"
1982903;"Hackers (1995)";"1995"
1983455;"Hairspray (1988)";"1988"
1983617;"Hak hap (1996)";"1996"
1983859;"Half Baked (1998)";"1998"
1984278;"Halloween (1978)";"1978"
1984283;"Halloween 4: The Return of Michael Myers (1988)";"1988"
1984284;"Halloween 5 (1989)";"1989"
1984305;"Halloween H20: 20 Years Later (1998)";"1998"
1984320;"Halloween II (1981)";"1981"
1984323;"Halloween III: Season of the Witch (1982)";"1982"
